UniqueID,Name
1,UI_通常
16,Pos_オーディオ家具_BGM
17,専用EF_けけライブ_ALL
18,専用EF_作業台_BGM
19,Demo_ツール壊れ_ALL
20,Gen_時報オフ_SE
21,EF_会話島メロオフ_SE
24,専用EF_機内視点_SE
28,専用EF_眠りに落ちる_SE
29,専用EF_ツアーカウンター環境音_SE
30,専用EF_オーディオ家具_BGM
32,専用EF_タイトル画面の黒フェード_ALL
33,EF_黒ワイプオーディオ除外_SE
34,EF_BGMフェード_BGM
35,EF_SEフェード_SE
38,EF_ゲーム内BGMを消す_BGM
39,専用EF_ライブ前にBGMを下げる_BGM
40,専用EF_ライブ前に着地音を下げる_SE
41,EF_透過全画面_ALL
42,専用EF_ゆめみから覚める_SE
43,専用EF_ゆめみに落ちる_SE
44,専用EF_しずえからオーナメントもらう暗転_SE
45,専用EF_ハーベストで料理が完成暗転_SE
46,専用EF_ハーベスト料理デモのわくわく漫符
47,専用EF_ハーベスト料理デモのオーディオ家具
48,専用EF_カーニバルダンスデモ通常はね_SE
49,専用EF_カーニバル初回会話_BGM
50,専用EF_カーニバル初回会話_SE
51,専用EF_商談デモでSEを下げる_SE
52,EF_ゲーム内BGMを消す(フェード時間0)_BGM
53,専用EF_イベント00環境音を下げる_SE
54,専用EF_商談に行く前の会話_SE
55,Demo_けけフェスデモ_SE
56,専用EF_かっぺい船歌_SE
57,専用EF_完成デモ_SE
58,専用EF_施設の前で滝の音量を下げる_SE
59,専用EF_ウェアラン日またぎ処理後のつなぎ_ALL
60,専用EF_エディット完了後のファンファーレ_SE
61,専用EF_カフェでコーヒーを飲む_SE
62,専用EF_漫符がんばりますをミュート_SE
63,専用EF_マップUIでけけフェスをミュート_BGM
64,専用EF_シェアハウス解散_SE
65,UI_全画面_ALL
66,専用EF_カットリーヌに集中させる_SE
67,専用EF_カットリーヌ施術中_SE
68,専用EF_シェアハウス相手探し中の商談会話_SE
69,専用EF_コミューン島拡張時会話_SE
70,Demo_機内視点_SE
71,専用EF_案内所でOBJの音量をさげる_SE
